CountryName,Date_20th,Initial20Cases,start_lockdown,lockdown_start_days,end_lockdown,lockdown_duration,Type of Lockdown,source ,Update,,,,,,
Algeria,3/9/20,20,3/23/20,14,6/13/20,82,Partial lockdown,https://www.africanews.com/2020/04/28/algeria-extends-lockdown-measures-until-may-14//,Yes,https://www.africanews.com/2020/05/29/algeria-extends-virus-lockdown-until-june-13//,,,,,
Angola,4/18/20,24,3/31/20,1,6/9/20,70,National lockdown,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Yes,US Embassy update,,,,,
Benin,4/5/20,22,3/30/20,1,5/10/20,41,Partial lockdown,https://reliefweb.int/report/benin/benin-coronavirus-covid-19-situation-report-no-7,Yes ,,,,,,
Botswana,4/19/20,20,4/6/20,1,5/22/20,46,Partial lockdown,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Yes ,,,,,,
Burkina Faso,3/18/20,20,3/21/20,3,5/14/20,54,Partial lockdown,https://www.garda.com/crisis24/news-alerts/334916/burkina-faso-curfew-hours-modified-as-of-april-20-update-6,Yes ,,,,,,
Burundi,5/17/20,23,3/21/20,1,4/29/20,39,No official lockdown,https://www.hrw.org/news/2020/03/31/burundi-any-covid-19-cover-will-put-lives-risk,https://bi.usembassy.gov/covid-19-information/,Yes ,,,,,
Cabo Verde,4/15/20,56,3/28/20,1,4/14/20,17,Partial lockdown,https://cv.usembassy.gov/covid-19-information/,Yes ,,,,,,
Cameroon,3/20/20,20,3/18/20,1,,60,Partial lockdown,https://home.kpmg/xx/en/home/insights/2020/04/cameroon-government-and-institution-measures-in-response-to-covid.html,Yes ,,,,,,
Central African Republic,4/28/20,50,3/30/20,1,NA,60,Partial lockdown,https://www.gov.uk/foreign-travel-advice/central-african-republic/coronavirus,,,,,,,
Chad,4/13/20,23,4/2/20,1,5/15/20,43,Partial lockdown,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Yes ,,,,,,
Congo (Brazzaville),4/2/20,22,3/31/20,1,5/31/20,61,National lockdown,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Yes ,"U.S. Embassy Kinshasa, Democratic Republic of the Congo (May 12, 2020)",,,,,
Congo (Kinshasa),3/21/20,23,3/23/20,7,6/4/20,73,Partial lockdown,https://www.aa.com.tr/en/africa/dr-congo-extends-state-of-emergency-amid-covid-19/1816681,Yes ,https://africanbusinessmagazine.com/sectors/health-sectors/covid-19/fighting-covid-19-in-the-democratic-republic-of-congo/,US Embassy update,,,,
Cote d'Ivoire,3/23/20,25,3/16/20,6,5/17/20,62,Partial lockdown,https://ci.usembassy.gov/covid-19-information/,Yes ,,,,,,
Djibouti,3/31/20,30,3/23/20,1,5/8/20,46,National lockdown,https://dj.usembassy.gov/health-alert-u-s-embassy-djibouti-3/,Yes ,,,,,,
Egypt,3/8/20,49,3/25/20,17,7/30/20,127,National lockdown,https://eg.usembassy.gov/health-alert-u-s-embassy-cairo-march-24-2020/,Yes ,2 week extensions,https://www.aa.com.tr/en/africa/egypt-extends-state-of-emergency-for-3-months/1821088,US Embassy update,,,
Equatorial Guinea,4/12/20,21,3/26/20,3,5/29/20,64,Partial lockdown,https://home.kpmg/xx/en/home/insights/2020/04/equatorial-guinea-government-and-institution-measures-in-response-to-covid.html,Yes ,https://www.guineaecuatorialpress.com/noticia.php?id=15516,,,,,
Eritrea,4/2/20,22,3/23/20,1,4/23/20,31,National lockdown,https://er.usembassy.gov/health-alert/,Yes ,,,,,,
Eswatini,4/18/20,22,3/26/20,1,5/7/20,42,Partial lockdown,https://www.garda.com/crisis24/news-alerts/332881/eswatini-government-extends-partial-lockdown-until-may-7-due-to-covid-19-update-2,Yes ,,,,,,
Ethiopia,3/29/20,21,4/8/20,13,9/8/20,153,Partial lockdown,https://www.aljazeera.com/news/2020/04/ethiopia-declares-state-emergency-fight-covid-19-200408142519485.html,Yes ,,,,,,
Gabon,4/2/20,21,3/20/20,1,5/17/20,58,National lockdown,https://ga.usembassy.gov/u-s-citizen-services/coronavirus-update/,Yes ,US Embassy update,,,,,
Gambia,5/11/20,22,3/17/20,1,5/15/20,59,Partial lockdown,https://www.garda.com/crisis24/news-alerts/324046/gambia-authorities-confirm-first-case-of-covid-19-march-17,Yes ,,,,,,
Ghana,3/22/20,23,3/30/20,8,4/23/20,24,Partial lockdown,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Yes ,,,,,,
Guinea,3/30/20,22,3/21/20,1,5/15/20,55,Partial lockdown,https://gn.usembassy.gov/u-s-citizen-services/covid-19-information/,Yes ,,,,,,
Guinea-Bissau,4/7/20,33,3/17/20,1,5/11/20,55,National lockdown,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Yes ,,,,,,
Kenya,3/24/20,25,3/20/20,3,6/6/20,78,Partial lockdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kenya#cite_note-37,Yes ,US Embassy update,,,,,
Liberia,4/8/20,31,3/22/20,2,5/7/20,21,National lockdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Liberia,Yes ,,,,,,
Libya,4/7/20,20,4/17/20,10,5/7/20,20,Partial lockdown,https://www.libyaobserver.ly/news/pc-extends-curfew-reduces-restricted-hours,,Yes ,,,,,
Madagascar,3/26/20,23,3/23/20,1,NA,60,Partial lockdown,https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19-information/,Yes ,,,,,,
Malawi,4/22/20,23,3/23/20,1,5/10/20,48,Partial lockdown,https://www.aljazeera.com/news/2020/04/malawi-workers-relieved-court-blocks-covid-19-lockdown-plan-200420092511551.html,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Malawi,Yes ,,,,,
Mali,3/30/20,25,3/15/20,1,5/9/20,55,Partial lockdown,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Yes ,,,,,,
Mauritania,5/14/20,20,3/15/20,1,NA,60,Partial lockdown,https://reliefweb.int/report/mauritania/wfp-mauritania-country-brief-march-2020,Yes ,,,,,,
Mauritius,3/22/20,28,3/29/20,7,6/1/20,64,National lockdown,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Yes ,,,,,,
Morocco,3/15/20,28,3/19/20,4,6/10/20,83,National lockdown,https://www.middleeastmonitor.com/20200419-moroccos-government-extends-coronavirus-lockdown-to-may-20/,Yes ,US Embassy update,,,,,
Mozambique,4/10/20,20,4/1/20,1,5/30/20,59,Partial lockdown,https://mz.usembassy.gov/covid-19-information-2/,https://covid19.ins.gov.mz/wp-content/uploads/2020/05/Boletim-Diario-Covid-N48.pdf,,,,,,
Namibia,4/5/20,16,3/17/20,1,6/1/20,76,Partial lockdown,https://www.garda.com/crisis24/news-alert-full-history/EYN7SZavvRSKXPbhT/namibia-government-closes-schools-and-suspends-flights-between-qatar-ethiopia-and-germany-march-15,Yes ,,,,,,
Niger,3/30/20,27,3/20/20,1,7/11/20,113,Partial lockdown,https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/,Yes ,,,,,,
Nigeria,3/21/20,22,3/30/20,9,6/1/20,63,Partial lockdown,https://www.aljazeera.com/news/2020/04/nigeria-extends-coronavirus-lockdown-key-cities-weeks-200413185335045.html,,US Embassy update,,,,,
Rwanda,3/23/20,36,3/21/20,1,NA,60,National lockdown,https://www.ktpress.rw/2020/04/11-more-days-rwanda-extends-covid-19-lockdown-to-april-30/,,,,,,,
Sao Tome and Principe,5/5/20,174,3/17/20,1,NA,60,National lockdown,https://ga.usembassy.gov/u-s-citizen-services/coronavirus-update/,,,,,,,
Senegal,3/15/20,24,3/23/20,12,5/30/20,68,National lockdown,https://sn.usembassy.gov/covid-19-information/,Yes ,,,,,,
Seychelles,4/6/20,11,3/16/20,1,NA,60,National lockdown,http://www.seychellesnewsagency.com/articles/12688/Seychelles+and+COVID-++measures+taken+by+the+island+nation+to+protect+its+people,Yes ,,,,,,
Sierra Leone,4/17/20,26,4/4/20,1,,60,Partial lockdown,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,Yes ,,,,,,
Somalia,4/10/20,21,3/18/20,1,NA,60,Partial lockdown,https://www.osac.gov/Country/Somalia/Content/Detail/Report/6062d8e6-3dbb-4abd-8e14-183ac940cf81,Yes ,,,,,,
South Africa,3/13/20,24,3/15/20,13,NA,22,National lockdown,https://blogs.loc.gov/law/2020/04/south-africa-government-measures-to-contain-the-spread-of-covid-19-and-mitigate-damages/,Yes ,,,,,,
South Sudan,4/28/20,34,3/25/20,1,NA,60,Partial lockdown,https://www.osac.gov/Country/SouthSudan/Content/Detail/Report/10c44b03-fdf8-4249-856a-1848aca55939,Yes ,,,,,,
Sudan,4/13/20,29,3/24/20,1,6/3/20,71,Partial lockdown,https://www.cmi.no/news/2441-covid-19-and-the-challenges-of-social-distancing-in-khartoum,Yes ,US Embassy update,,,,,
Tanzania,4/1/20,20,3/23/20,1,NA,60,Partial lockdown,https://www.africanews.com/2020/04/05/coronavirus-tanzania-tighter-covid-19-vigilance//,Yes ,https://www.dw.com/en/tanzania-under-fire-from-who-for-lackluster-response-to-covid-19-pandemic/a-53304699,,,,,
Togo,3/24/20,20,3/20/20,9,NA,60,Partial lockdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Togo,Yes ,,,,,,
Tunisia,3/16/20,20,3/22/20,6,NA,60,National lockdown,https://english.alarabiya.net/en/coronavirus/2020/04/20/Coronavirus-Tunisia-extends-lockdown-looks-to-gradually-ease-restrictions,https://www.garda.com/crisis24/news-alerts/334106/tunisia-ongoing-covid-19-lockdown-extended-until-may-3-update-7,,,,,,
Uganda,3/27/20,23,3/22/20,1,NA,60,National lockdown,https://www.theeastafrican.co.ke/news/ea/Uganda-to-relax-Covid19-lockdown/4552908-5537526-xoh407/index.html,,,,,,,
Zambia,3/27/20,22,3/17/20,1,NA,60,National lockdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Zambia,,,,,,,
Zimbabwe,4/15/20,23,3/23/20,1,NA,60,National lockdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Zimbabwe,,,,,,,